"SID","day","real_order","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried"
"10523",12,45,1,1,4,1,3,1,2,3,5,2
"10528",12,45,1,1,3,2,3,1,3,3,4,3
"10485",13,49,1,NA,2,3,2,2,4,3,2,2
"10473",15,57,1,3,4,1,1,3,1,3,5,3
"10516",14,53,1,NA,5,1,2,1,1,NA,5,4
"10515",10,37,1,2,4,4,4,1,3,3,5,1
"10517",13,49,1,2,3,3,3,1,2,4,4,1
"10498",11,41,1,1,5,2,2,2,1,3,4,3
"10518",10,37,7,NA,4,4,4,2,2,4,3,2
"10509",7,25,7,2,3,3,5,2,3,3,4,3
"10540",10,37,7,NA,3,5,4,3,1,NA,4,3
"10544",7,25,7,2,4,1,3,2,3,4,5,2
"10513",13,49,7,2,3,3,4,1,4,4,4,1
"10530",10,37,7,2,3,2,4,2,4,3,4,3
"10543",7,25,7,2,3,3,4,1,3,3,2,2
"10485",12,45,7,2,3,3,3,1,4,4,3,2
"10535",8,29,6,1,3,3,4,1,4,3,2,1
"10509",6,21,6,1,2,3,4,1,4,3,4,1
"10515",8,29,6,NA,5,5,5,2,1,NA,3,1
"10498",9,33,6,1,1,3,4,2,4,5,5,2
"10517",11,41,6,2,3,3,5,1,4,4,4,1
"10530",9,33,6,3,2,1,4,2,5,2,4,2
"10477",15,57,6,2,2,3,4,3,3,3,3,4
"10485",11,41,6,2,3,1,4,1,4,4,3,2
"10516",12,45,6,3,3,1,2,1,3,3,4,3
"10515",7,25,5,1,2,2,4,1,3,5,5,1
"10517",10,37,5,NA,5,5,5,1,1,NA,1,1
"10513",11,41,5,1,2,3,5,1,4,5,5,2
"10485",10,37,5,2,2,2,3,1,3,4,3,2
"10530",8,29,5,2,4,2,3,1,3,3,5,3
"10537",5,17,5,1,2,2,4,1,5,4,4,1
"10494",15,57,5,NA,5,1,5,1,1,NA,3,3
"10473",12,45,5,NA,NA,3,5,1,3,NA,3,2
"10506",14,53,4,2,4,4,4,1,2,4,3,1
"10512",8,29,4,1,4,5,3,2,2,5,4,2
"10460",13,49,4,1,1,2,5,1,5,4,5,1
"10530",7,25,4,1,3,4,4,1,2,4,4,1
"10509",4,13,4,1,2,5,5,1,4,4,4,3
"10510",15,57,4,2,3,5,4,3,3,3,4,2
"10528",8,29,4,1,2,3,4,1,4,3,4,2
"10540",7,25,4,1,2,3,4,4,4,3,5,4
"10494",14,53,4,NA,5,1,5,1,1,NA,5,3
"10497",11,41,4,2,2,4,4,1,3,4,4,1
"10513",10,37,4,2,3,5,5,3,4,3,5,2
"10517",9,33,4,1,3,1,4,1,5,5,4,1
"10472",15,57,3,1,5,3,5,1,1,1,5,1
"10466",14,53,3,3,3,3,3,3,3,3,3,3
"10486",15,57,3,1,4,1,4,1,5,4,4,3
"10460",12,45,3,2,2,3,3,4,3,3,3,4
"10512",7,25,3,1,4,5,4,4,2,4,4,1
"10540",6,21,3,1,1,2,4,1,5,4,4,1
"10543",3,9,3,2,4,3,3,2,2,3,3,2
"10528",7,25,3,1,2,4,4,1,5,4,3,1
"10494",13,49,3,1,3,2,5,1,5,5,5,3
"10473",10,37,3,2,3,3,3,2,4,3,3,2
"10509",3,9,3,1,1,3,5,2,5,4,5,3
"10517",8,29,3,1,3,5,5,2,2,5,5,1
"10530",6,21,3,3,3,1,4,1,2,3,5,3
"10515",5,17,3,NA,5,3,4,1,1,NA,5,1
"10516",8,29,2,1,2,2,5,1,5,3,4,1
"10483",12,45,2,3,3,2,3,2,2,3,3,2
"10494",12,45,2,NA,3,1,5,1,1,NA,5,1
"10543",2,5,2,2,3,3,3,2,3,2,2,3
"10528",6,21,2,1,1,1,2,1,2,3,4,1
"10479",14,53,2,1,4,1,3,2,3,3,3,3
"10517",7,25,2,1,3,3,2,2,4,4,4,4
"10513",8,29,2,1,5,5,3,4,1,5,3,4
"10537",2,5,2,1,2,4,4,1,3,4,4,1
"10485",7,25,2,1,3,2,4,2,5,4,4,2
"10530",5,17,2,1,5,4,5,2,1,3,3,3
"10544",2,5,2,2,2,2,4,1,4,3,3,2
"10510",13,49,2,1,2,2,4,1,3,3,4,1
"10473",9,33,2,NA,5,3,2,3,2,NA,3,3
"10492",15,57,2,1,1,1,3,1,5,4,4,1
"10509",2,5,2,1,2,4,3,1,4,3,4,1
"10540",5,17,2,1,5,1,4,1,4,3,5,1
"10488",14,53,2,3,4,4,3,2,2,4,3,1
"10497",9,33,2,3,5,2,2,1,3,2,3,3
"10466",13,49,2,1,2,4,5,3,4,1,3,3
"10472",14,53,2,1,5,1,5,1,1,1,5,1
"10479",13,49,1,2,3,3,3,2,2,3,3,3
"10542",4,13,1,1,5,1,3,1,4,3,3,3
"10512",5,17,1,1,3,1,4,1,4,5,4,2
"10498",4,13,1,1,4,2,3,1,3,4,4,2
"10506",11,41,1,1,5,1,5,1,2,3,4,1
"10485",6,21,1,1,3,2,3,1,4,3,4,2
"10497",8,29,1,1,3,3,3,2,2,3,5,3
"10466",12,45,1,1,5,3,3,1,1,1,3,3
"10511",11,41,1,1,3,3,3,2,5,3,2,2
"10398",5,17,1,1,2,1,3,1,3,4,4,3
"10532",4,13,1,1,3,2,3,1,3,3,4,2
"10513",7,25,1,1,5,5,3,4,1,2,3,1
"10540",4,13,1,NA,4,5,4,3,2,NA,3,3
"10486",13,49,1,1,4,3,1,3,4,3,4,3
"10472",13,49,1,NA,5,5,5,1,1,NA,5,2
"10492",14,53,1,1,2,1,3,1,3,4,4,2
"10517",6,21,1,2,2,2,3,2,4,5,5,1
"10494",11,41,1,1,2,1,3,1,3,5,5,3
"10516",7,25,1,2,2,1,4,1,4,4,4,2
"10530",4,13,1,1,3,1,3,1,2,3,4,2
"10523",5,17,1,2,5,3,4,1,2,3,4,2
"10525",8,29,1,2,4,2,3,1,2,3,4,3
"10477",10,37,1,NA,4,2,3,2,3,NA,3,2
"10473",8,29,1,2,4,3,3,3,2,2,3,2
"10515",3,9,1,2,2,1,2,1,3,3,4,4
"10518",3,9,7,1,3,4,5,2,5,5,4,2
"10516",6,21,7,2,4,3,5,1,2,3,3,3
"10542",3,9,7,1,4,1,5,1,3,3,2,2
"10532",3,9,7,NA,3,5,4,1,3,NA,2,1
"10472",12,45,7,1,5,5,5,1,1,1,5,1
"10523",4,13,7,1,2,1,5,1,4,4,5,1
"10486",12,45,7,2,3,4,4,2,3,3,3,2
"10466",11,41,7,NA,5,5,5,3,1,NA,1,3
"10530",3,9,7,3,3,2,3,2,4,3,5,2
"10517",5,17,7,2,1,1,3,2,4,5,5,1
"10540",3,9,7,1,3,1,5,1,4,3,5,1
"10535",3,9,7,NA,4,4,5,2,1,NA,3,2
"10528",4,13,7,1,3,2,3,1,3,3,4,2
"10498",3,9,7,NA,5,2,2,1,1,NA,4,3
"10494",10,37,7,NA,5,1,3,3,1,NA,3,4
"10492",13,49,7,4,3,4,5,1,4,4,4,1
"10515",2,5,7,1,5,4,4,1,2,1,5,2
"10506",9,33,6,2,2,1,3,1,4,4,5,2
"10466",10,37,6,3,3,3,1,5,3,3,1,5
"10513",5,17,6,1,1,1,4,1,5,3,4,1
"10483",9,33,6,3,3,2,2,2,3,3,3,4
"10497",6,21,6,2,1,2,1,1,4,4,4,3
"10523",3,9,6,1,2,1,5,1,5,4,5,1
"10503",8,29,6,1,3,3,4,1,3,3,4,1
"10472",11,41,6,1,4,1,5,1,1,1,5,1
"10528",3,9,6,1,1,1,3,1,4,4,5,1
"10485",4,13,6,1,2,4,4,1,3,3,4,1
"10494",9,33,6,NA,5,1,3,2,1,NA,5,3
"10530",2,5,6,1,3,3,4,1,3,3,4,1
"10540",2,5,6,1,2,1,4,1,4,4,5,1
"10516",5,17,6,2,4,3,5,1,2,3,4,1
"10517",4,13,6,2,4,3,4,2,3,4,5,2
"10474",10,37,5,2,2,3,2,2,3,3,3,3
"10460",7,25,5,NA,4,4,5,1,1,NA,3,1
"10503",7,25,5,NA,5,5,5,1,1,NA,1,1
"10477",7,25,5,NA,3,3,4,2,3,NA,2,2
"10452",15,57,5,1,5,3,5,1,1,4,3,2
"10510",9,33,5,1,3,3,3,1,4,3,3,3
"10512",2,5,5,1,4,2,4,1,1,4,4,2
"10486",10,37,5,NA,1,5,5,1,2,NA,2,5
"10398",2,5,5,1,3,2,5,1,4,4,4,1
"10472",10,37,5,NA,5,3,5,1,1,NA,5,1
"10516",4,13,5,2,3,2,2,1,2,2,3,2
"10492",11,41,5,1,2,1,3,1,4,4,4,1
"10466",9,33,5,NA,5,4,5,1,1,NA,3,1
"10523",2,5,5,1,5,2,5,1,2,3,3,2
"10513",4,13,5,2,5,3,3,3,2,3,3,1
"10494",8,29,5,1,5,3,5,1,3,5,5,1
"10490",15,57,5,1,2,3,3,1,3,3,3,2
"10528",2,5,5,1,5,2,3,1,1,3,4,3
"10485",3,9,5,1,4,2,5,1,3,4,4,1
"10473",5,17,5,2,3,2,4,2,4,4,5,2
"10497",5,17,5,1,3,3,1,1,4,3,3,4
"10517",3,9,5,NA,5,4,2,5,1,NA,3,4
"10513",3,9,4,2,4,1,3,2,3,3,4,2
"10494",7,25,4,1,2,1,4,1,4,4,3,2
"10484",7,25,4,1,5,1,3,1,4,4,5,4
"10460",6,21,4,1,3,2,4,1,3,3,4,2
"10503",6,21,4,3,5,4,4,1,2,2,2,2
"10453",10,37,4,1,4,2,2,1,2,2,4,3
"10463",8,29,4,1,2,1,5,1,3,4,5,1
"10473",4,13,4,2,4,2,2,3,2,3,4,2
"10488",9,33,4,3,4,4,3,2,3,3,3,3
"10452",14,53,4,1,3,2,5,1,2,3,5,2
"10492",10,37,4,1,1,2,3,1,5,4,4,2
"10472",9,33,4,NA,2,1,5,1,1,NA,5,1
"10486",9,33,4,1,4,1,1,4,2,2,3,5
"10510",8,29,4,1,1,1,3,1,3,3,2,3
"10479",9,33,4,2,4,5,3,1,3,3,3,2
"10466",8,29,4,2,3,3,4,1,4,2,3,2
"10490",14,53,4,NA,3,3,3,2,3,NA,3,2
"10517",2,5,4,3,4,4,4,1,3,4,4,2
"10525",4,13,4,1,2,2,3,1,5,4,5,3
"10493",15,57,4,2,4,3,3,3,2,4,5,3
"10524",7,25,4,2,4,5,4,1,3,4,4,2
"10473",3,9,3,2,4,3,3,2,2,3,4,2
"10488",8,29,3,4,4,4,4,3,2,3,3,3
"10474",8,29,3,2,NA,2,2,4,3,3,3,3
"10525",3,9,3,1,3,2,3,1,2,4,3,3
"10497",3,9,3,2,4,4,2,2,2,4,2,4
"10506",6,21,3,3,3,5,3,1,3,3,4,3
"10493",14,53,3,5,2,5,5,3,2,1,5,1
"10469",3,9,3,1,2,2,3,1,5,4,5,1
"10503",5,17,3,NA,5,5,4,1,1,NA,1,3
"10524",6,21,3,2,3,4,4,1,4,4,4,1
"10513",2,5,3,3,4,3,3,1,4,4,3,2
"10490",13,49,3,1,3,2,3,1,2,3,3,2
"10479",8,29,3,2,3,5,4,1,3,4,3,2
"10483",6,21,3,3,3,3,3,1,3,3,3,3
"10494",6,21,3,NA,5,2,3,1,1,NA,3,3
"10476",7,25,3,1,3,3,3,1,4,4,4,3
"10477",5,17,3,1,3,2,3,1,3,4,3,2
"10472",8,29,3,NA,5,1,4,1,1,NA,5,1
"10447",13,49,3,1,5,1,2,1,1,5,5,5
"10453",9,33,3,2,2,2,4,1,4,4,4,2
"10452",13,49,3,1,5,2,5,1,3,3,5,1
"10486",8,29,3,1,2,1,3,1,5,4,4,1
"10466",7,25,3,1,3,3,2,2,2,2,3,2
"10481",6,21,3,NA,4,3,2,2,1,NA,2,4
"10516",2,5,3,1,4,4,4,2,2,3,3,1
"10473",2,5,2,2,3,4,3,2,3,4,4,2
"10463",6,21,2,1,1,1,5,1,5,5,5,1
"10460",4,13,2,1,3,2,4,1,4,4,3,2
"10477",4,13,2,NA,4,3,2,3,2,NA,3,4
"10506",5,17,2,2,4,5,3,1,2,3,3,3
"10466",6,21,2,2,5,3,3,1,1,3,3,2
"10449",15,57,2,1,2,3,5,2,4,4,4,2
"10494",5,17,2,1,5,1,5,1,1,3,5,1
"10510",6,21,2,3,2,2,3,1,3,3,4,2
"10511",5,17,2,2,2,3,4,2,2,4,3,1
"10452",12,45,2,1,4,1,5,1,2,3,5,1
"10465",12,45,2,2,3,2,5,1,3,4,4,1
"10490",12,45,2,2,2,3,3,2,3,4,3,3
"10469",2,5,2,1,5,3,4,1,1,4,5,2
"10492",8,29,2,1,3,1,3,1,4,4,4,2
"10503",4,13,2,1,4,2,3,1,3,2,4,2
"10486",7,25,2,1,3,1,3,3,4,3,3,4
"10488",7,25,2,2,4,2,3,2,1,3,4,3
"10472",7,25,2,1,3,1,3,1,4,1,5,1
"10479",7,25,2,2,2,3,4,1,3,3,5,3
"10525",2,5,2,3,2,2,3,2,5,3,4,3
"10524",5,17,2,2,3,4,3,1,4,3,4,3
"10497",2,5,2,1,2,3,2,1,4,4,3,3
"10493",13,49,2,1,1,1,2,1,5,5,5,2
"10459",14,53,2,1,3,3,4,3,1,5,5,2
"10448",15,57,2,1,3,3,3,1,3,4,5,3
"10493",12,45,1,1,5,4,5,1,3,4,5,1
"10460",3,9,1,1,3,1,2,2,2,3,4,4
"10463",5,17,1,NA,5,3,3,2,1,NA,5,3
"10510",5,17,1,1,3,3,3,1,3,3,4,3
"10511",4,13,1,2,2,3,3,2,4,4,3,2
"10465",11,41,1,2,1,1,5,1,4,4,4,1
"10492",7,25,1,2,2,2,3,1,4,4,4,2
"10494",4,13,1,NA,4,3,2,2,1,NA,3,3
"10448",14,53,1,1,4,2,3,1,2,4,4,2
"10483",4,13,1,2,2,4,4,2,2,3,3,2
"10488",6,21,1,3,3,3,2,3,1,2,4,4
"10479",6,21,1,1,4,5,3,1,2,3,3,2
"10445",15,57,1,1,5,1,3,1,1,5,5,2
"10466",5,17,1,1,3,2,1,1,3,4,3,5
"10486",6,21,1,NA,5,1,3,1,3,2,3,4
"10477",3,9,1,1,4,3,3,1,2,3,2,2
"10452",11,41,1,1,5,2,5,1,1,2,3,1
"10449",14,53,1,2,1,3,5,1,4,4,4,1
"10490",11,41,1,2,2,3,3,1,3,3,3,2
"10453",7,25,1,NA,4,2,3,1,3,NA,3,2
"10524",4,13,1,3,5,2,2,4,3,3,4,4
"10472",6,21,1,NA,5,1,3,1,1,NA,4,1
"10475",11,41,7,1,2,5,5,2,4,4,3,2
"10445",14,53,7,3,2,3,3,2,3,4,4,2
"10477",2,5,7,1,3,2,4,1,3,3,3,1
"10463",4,13,7,1,1,1,5,1,5,4,5,1
"10503",2,5,7,NA,5,5,5,1,1,NA,1,1
"10490",10,37,7,NA,4,3,3,1,2,NA,3,1
"10494",3,9,7,1,3,3,2,4,3,3,3,3
"10488",5,17,7,1,5,5,5,3,1,3,1,5
"10510",4,13,7,2,2,2,4,1,3,3,4,2
"10454",13,49,7,NA,2,2,3,1,1,NA,3,3
"10448",13,49,7,1,1,3,3,1,4,4,4,1
"10480",11,41,7,2,2,2,4,2,5,4,4,1
"10450",14,53,7,1,4,3,3,2,3,4,2,2
"10466",4,13,7,1,3,4,3,3,3,4,3,3
"10447",10,37,7,NA,5,2,4,1,2,NA,5,3
"10474",5,17,7,1,3,4,2,4,3,3,4,3
"10460",2,5,7,1,4,2,5,1,3,5,4,2
"10493",11,41,7,3,1,5,3,1,5,3,5,1
"10511",3,9,7,1,2,3,3,2,5,4,3,2
"10524",3,9,7,2,3,2,4,2,3,3,4,3
"10472",5,17,7,1,5,3,3,1,3,1,4,2
"10486",5,17,7,1,4,3,3,2,3,3,2,3
"10494",2,5,6,1,4,2,3,1,3,4,4,1
"10490",9,33,6,NA,5,3,3,1,1,NA,3,2
"10496",4,13,6,1,5,3,5,1,3,3,3,1
"10450",13,49,6,NA,4,5,5,1,1,NA,3,1
"10453",5,17,6,NA,4,3,4,2,2,NA,2,2
"10492",5,17,6,1,1,4,3,2,5,4,4,3
"10452",9,33,6,NA,5,1,3,1,1,NA,3,1
"10448",12,45,6,NA,5,4,3,1,1,NA,4,3
"10483",2,5,6,1,3,2,2,1,3,3,4,4
"10493",10,37,6,1,1,1,5,1,5,5,5,1
"10475",10,37,6,1,2,2,4,1,4,4,4,4
"10486",4,13,6,1,4,5,4,1,3,3,4,2
"10511",2,5,6,1,3,1,2,3,3,4,3,3
"10438",15,57,6,1,4,1,5,1,4,5,5,2
"10472",4,13,6,1,1,1,5,1,5,3,5,1
"10466",3,9,6,NA,4,2,2,2,1,NA,4,3
"10445",12,45,5,1,1,4,4,1,4,5,5,1
"10465",8,29,5,NA,5,2,5,1,1,NA,4,1
"10474",3,9,5,2,3,2,4,1,2,3,4,2
"10447",8,29,5,1,5,1,4,1,2,5,5,2
"10510",2,5,5,1,3,2,3,2,4,3,4,3
"10397",15,57,5,2,3,2,3,2,3,4,4,2
"10459",10,37,5,NA,2,3,1,3,1,NA,3,5
"10472",3,9,5,1,3,1,5,1,3,1,5,1
"10448",11,41,5,1,5,2,3,1,1,4,4,3
"10438",14,53,5,NA,4,1,4,2,2,NA,5,1
"10492",4,13,5,2,2,2,2,1,3,4,4,3
"10455",7,25,5,1,2,1,2,1,5,5,5,3
"10453",4,13,5,NA,5,2,4,1,2,NA,3,1
"10486",3,9,5,2,1,1,2,1,3,4,3,1
"10488",3,9,5,3,4,3,3,3,2,3,5,2
"10479",3,9,5,2,3,2,3,2,4,4,3,2
"10452",8,29,5,1,5,2,5,1,2,1,5,1
"10490",8,29,5,2,2,3,3,1,4,3,3,1
"10449",11,41,5,1,2,1,5,1,4,4,5,1
"10466",2,5,5,1,4,2,3,2,4,3,5,1
"10432",15,57,5,1,3,3,5,1,4,4,5,1
"10493",9,33,5,NA,5,5,5,1,1,NA,1,3
"10472",2,5,4,NA,2,1,3,1,1,NA,5,3
"10445",11,41,4,1,5,3,3,2,3,5,5,2
"10437",14,57,4,2,3,2,4,1,3,4,3,2
"10496",2,5,4,1,3,2,4,2,3,2,5,3
"10397",14,53,4,NA,5,2,4,1,1,NA,5,2
"10490",7,25,4,1,2,3,3,1,3,4,4,1
"10480",8,29,4,NA,5,1,2,1,3,NA,3,4
"10452",7,25,4,1,3,1,5,1,3,2,5,1
"10438",13,49,4,NA,5,3,5,1,3,NA,4,1
"10448",10,37,4,1,1,3,5,1,5,4,4,1
"10455",6,21,4,1,3,3,5,1,4,5,5,1
"10449",10,37,4,1,4,2,2,1,4,5,5,3
"10475",8,29,4,2,1,4,5,1,5,5,3,1
"10486",2,5,4,2,4,4,5,1,3,3,3,2
"10474",2,5,4,1,3,2,3,2,3,3,4,3
"10447",7,25,4,1,2,1,4,1,5,5,5,2
"10457",7,25,4,2,2,2,4,2,5,4,4,2
"10453",3,9,4,2,3,2,3,1,3,4,4,3
"10479",2,5,4,1,4,5,3,1,2,3,3,3
"10493",8,29,4,1,1,1,5,1,5,5,5,2
"10432",14,53,4,1,2,1,2,1,4,4,5,3
"10437",13,49,3,1,2,1,4,2,4,4,3,5
"10450",10,37,3,1,5,3,4,1,1,3,3,2
"10462",7,25,3,3,1,3,5,1,2,4,5,1
"10440",14,53,3,3,5,3,4,1,2,2,3,1
"10480",7,25,3,2,3,3,3,4,3,3,3,2
"10475",7,25,3,1,3,2,5,1,4,NA,4,1
"10453",2,5,3,2,4,1,4,1,3,4,4,3
"10459",8,29,3,3,4,2,2,2,3,5,5,3
"10493",7,25,3,1,5,2,3,1,2,3,4,4
"10492",2,5,3,1,3,1,2,1,3,3,3,3
"10490",6,21,3,2,2,1,2,1,2,3,2,1
"10397",13,49,3,2,3,2,3,1,3,4,4,2
"10441",14,53,3,NA,4,5,1,4,1,NA,5,4
"10445",10,37,3,1,5,1,3,3,3,5,5,4
"10449",9,33,3,2,1,1,3,1,3,4,5,3
"10448",9,33,3,1,5,2,2,1,1,4,4,3
"10452",6,21,3,1,5,2,4,1,2,1,4,1
"10438",12,45,3,1,4,1,3,1,2,5,5,1
"10432",13,49,3,1,3,2,4,1,3,4,4,3
"10452",5,17,2,2,3,2,4,1,4,4,4,3
"10432",12,45,2,1,5,2,5,1,3,4,5,1
"10444",12,45,2,2,4,2,3,2,2,2,4,2
"10471",5,17,2,NA,4,2,3,2,2,NA,3,3
"10457",5,17,2,2,5,2,2,3,4,4,4,4
"10449",8,29,2,1,1,1,4,1,5,4,4,2
"10493",6,21,2,1,4,5,3,1,4,5,5,1
"10437",12,45,2,2,3,4,3,2,5,4,4,2
"10448",8,29,2,1,3,1,4,1,3,4,4,1
"10455",4,13,2,1,3,3,3,2,3,4,3,2
"10475",6,21,2,1,3,1,4,1,4,4,5,3
"10440",13,49,2,1,3,2,3,1,3,3,3,1
"10447",5,17,2,1,5,1,3,1,5,5,5,2
"10397",12,45,2,2,4,2,2,2,2,4,3,3
"10450",9,33,2,1,3,1,5,1,3,4,5,2
"10438",11,41,2,NA,5,2,2,4,2,NA,3,3
"10490",5,17,2,1,2,3,4,1,4,4,4,1
"10457",4,13,1,2,4,4,2,1,2,4,2,4
"10480",5,17,1,1,1,3,4,1,4,4,5,4
"10454",7,25,1,1,1,3,5,1,5,5,5,3
"10442",12,45,1,NA,4,4,3,1,1,NA,3,2
"10422",12,45,1,2,5,3,4,1,2,3,4,2
"10437",11,41,1,1,2,2,4,3,3,4,4,3
"10431",15,57,1,2,2,3,2,3,2,4,4,2
"10459",6,21,1,2,3,3,3,2,3,3,3,3
"10452",4,13,1,1,5,1,2,1,2,1,4,4
"10471",4,13,1,2,4,3,3,2,3,2,3,3
"10448",7,25,1,1,5,1,2,2,1,4,5,3
"10447",4,13,1,1,5,3,2,3,2,5,5,4
"10470",5,17,1,2,3,4,4,2,3,2,3,2
"10449",7,25,1,1,2,2,4,1,5,4,4,1
"10493",5,17,1,1,5,4,3,1,2,3,5,1
"10465",4,13,1,2,2,3,5,1,5,4,4,1
"10438",10,37,1,1,5,1,5,1,2,5,5,1
"10397",11,41,1,1,5,1,3,1,1,5,5,2
"10432",11,41,1,1,3,4,3,1,4,4,5,1
"10445",8,29,1,1,5,1,2,3,3,5,5,4
"10490",4,13,1,2,2,2,3,1,3,3,3,1
"10465",3,9,7,1,2,2,5,1,4,4,4,1
"10422",11,41,7,2,4,2,3,1,2,3,3,3
"10438",9,33,7,1,2,3,5,2,4,5,5,2
"10450",7,25,7,2,2,2,3,2,1,4,2,2
"10470",4,13,7,NA,5,1,3,2,1,NA,1,2
