"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried"
"17",170,4,5,20,1.0625,5,1,4,1,1,2.82352941176471,4,2
"17",170,1,6,21,2,2,1,5,1,5,4,5,1
"17",170,2,6,22,1,2,1,3,1,5,4,5,3
"17",170,3,6,23,1.0625,1,4,4,1,5,2.82352941176471,5,1
"17",170,4,6,24,2,1,1,3,1,5,2,3,2
"17",170,1,7,25,1,3,2,4,2,3,2,5,2
"17",170,2,7,26,1,4,3,4,1,2,1,5,2
"17",170,3,7,27,1,1,1,3,1,5,3,5,2
"17",170,4,7,28,1,3,4,2,4,3,1,3,4
"17",170,1,8,29,1,2,2,4,1,5,3,5,2
"17",170,2,8,30,1,5,1,5,1,1,1,5,1
"17",170,3,8,31,1,1,1,4,1,4,1,4,1
"17",170,4,8,32,2,1,1,4,1,5,3,3,2
"17",170,1,9,33,2,1,3,4,1,5,3,5,1
"17",170,2,9,34,1,4,1,4,1,2,3,5,1
"17",170,3,9,35,1,1,2,4,1,5,3,3,2
"17",170,4,9,36,1,5,1,4,1,3,5,5,2
"17",170,1,10,37,1,2,2,4,2,2,4,5,2
"17",170,2,10,38,1.0625,5,1,3,1,1,2.82352941176471,5,1
"17",170,3,10,39,1,2,1,4,1,4,3,3,2
"17",170,4,10,40,3,3,2,3,1,3,3,4,1
"17",170,1,11,41,2,2,5,4,1,4,3,3,2
"17",170,2,11,42,1,2,1,4,1,4,4,5,1
"17",170,3,11,43,1,3,4,3,1,4,1,3,3
"17",170,4,11,44,1.0625,5,2,5,1,1,2.82352941176471,4,1
"17",170,2,12,46,1,3,4,3,1,4,1,3,4
"17",170,3,12,47,2,1,1,5,1,5,5,4,1
"17",170,4,12,48,1.0625,5,3,3,2,1,2.82352941176471,4,3
"17",170,1,13,49,3,3,2,3,2,3,2,3,2
"17",170,2,13,50,1,2,2,3,1,4,3,5,3
"17",170,3,13,51,3,3,4,3,2,3,3,3,2
"17",170,4,13,52,1.0625,5,5,5,1,1,2.82352941176471,3,2
"17",170,1,14,53,1,5,3,3,1,2,2,5,1
"17",170,2,14,54,1,5,3,3,1,4,4,4,1
"17",170,3,14,55,1,2,1,1,1,4,4,4,3
"17",170,4,14,56,2,3,4,2,3,3,2,4,3
"17",170,1,15,57,1.0625,3,4,4,1,4,2.82352941176471,4,2
"17",170,2,15,58,1,2,5,4,1,4,5,5,3
"17",170,3,15,59,1.0625,4,1,3,2,3,2.82352941176471,5,2
"17",170,4,15,60,1,3,3,4,1,4,3,3,3
"17",170,1,16,61,1,2,1,4,1,5,4,5,1
"17",170,2,16,62,2,4,3,4,1,5,2,3,2
"17",170,3,16,63,1.0625,4,1,2,1,1,2.82352941176471,4,3
"17",170,4,16,64,3,4,5,3,1,4,2,5,1
"17",170,1,17,65,2,2,1,4,1,4,3,5,2
"17",170,2,17,66,1.0625,3,2,3,1,3,2.82352941176471,3,2
"17",170,3,17,67,1.0625,2,2,3,1,4,2.82352941176471,3,2
"17",170,4,17,68,1,5,1,1,1,2,3,5,2
"17",170,2,18,70,2,3,3,3,2,3,2,4,3
"17",170,4,18,72,1,1,1,2,1,5,4,5,2
"17",170,1,19,73,2,2,5,5,1,3,2,2,3
"17",170,2,19,74,1,2,3,4,1,5,2,3,2
"17",170,3,19,75,1,3,4,4,1,3,2,3,2
"17",170,4,19,76,3,3,2,4,1,4,2,4,2
"17",170,1,20,77,2,4,2,4,1,3,2,5,2
"17",170,2,20,78,1,2,1,3,1,4,3,5,5
"17",170,3,20,79,2,3,4,3,2,3,2,2,2
"17",170,4,20,80,3,3,3,3,2,4,2,4,1
"17",170,1,21,81,2,3,2,3,1,4,2,5,2
"17",170,2,21,82,2,4,3,3,1,3,2,3,2
"17",170,3,21,83,1,2,1,2,2,3,3,4,3
"17",170,4,21,84,2,3,2,1,5,2,1,4,4
"17",170,1,22,85,1.0625,3,2,3,1,4,2.82352941176471,3,3
"17",170,3,22,87,1.0625,3,1,3,1,2,2.82352941176471,4,2
"17",170,4,22,88,3,4,5,4,1,1,2,4,1
"17",170,1,23,89,1,4,4,4,1,2,2,4,1
"17",170,2,23,90,1,5,1,3,2,2,1,5,1
"17",170,4,23,92,1,3,1,4,1,4,4,5,3
"17",170,1,24,93,1,2,2,4,2,4,2,5,2
"17",170,2,24,94,2,2,2,4,2,3,3,4,3
"17",170,3,24,95,1,4,1,3,3,3,2,5,3
"17",170,4,24,96,2,2,4,4,3,4,3,3,2
"17",170,2,25,98,2,2,2,3,2,3,3,5,3
"17",170,3,25,99,2,3,2,4,2,3,3,4,3
"17",170,2,26,102,1,2,2,4,1,5,5,4,1
"17",170,3,26,103,2,2,3,3,1,5,2,4,2
"17",170,4,26,104,1,4,1,3,1,2,4,4,2
"17",170,1,27,105,1,3,3,5,1,4,2,4,1
"17",170,2,27,106,1,1,1,4,1,4,3,5,2
"17",170,3,27,107,2,1,2,4,1,5,3,4,2
"17",170,4,27,108,1,5,1,1,1,1,1,5,3
"17",170,1,28,109,1,2,2,4,1,4,2,5,2
"17",170,2,28,110,1.0625,4,1,4,1,1,2.82352941176471,4,1
"17",170,4,28,112,1.0625,5,3,3,1,1,2.82352941176471,3,3
"17",170,1,29,113,1,1,2,3,1,5,3,4,1
"17",170,2,29,114,1,1,2,3,1,5,3,4,2
"17",170,3,29,115,1,1,1,3,1,4,3,4,1
"17",170,4,29,116,1.0625,4,1,5,1,1,2.82352941176471,5,1
"17",170,1,30,117,1,3,1,2,1,4,5,5,2
"17",170,2,30,118,1,2,3,3,1,5,3,5,1
"17",170,3,30,119,1,1,3,3,1,5,3,5,1
"17",170,4,30,120,1,5,1,1,1,1,1,5,2
"17",170,1,31,121,1.0625,5,3,5,1,1,2.82352941176471,3,2
"17",170,2,31,122,1,3,1,1,1,3,2,5,2
"17",170,3,31,123,1.0625,4,1,1,1,1,2.82352941176471,5,2
"17",170,4,31,124,1,2,3,3,1,3,4,4,2
"17",170,1,32,125,1.0625,5,2,4,1,1,2.82352941176471,4,1
"17",170,3,32,127,1,5,1,1,1,1,2,5,2
"17",170,4,32,128,1.0625,5,4,5,1,1,2.82352941176471,3,1
"17",170,2,33,130,1,2,3,4,1,4,4,4,1
"17",170,3,33,131,1,2,3,3,1,5,4,4,1
"17",170,4,33,132,1.0625,5,2,3,1,1,2.82352941176471,3,2
"17",170,1,34,133,1,2,2,3,1,4,3,3,1
"17",170,2,34,134,2,2,1,4,1,4,2,4,1
"17",170,3,34,135,1,2,4,2,1,3,1,2,3
"17",170,4,34,136,2,2,3,2,1,3,2,3,2
"17",170,1,35,137,1,4,2,3,1,3,2,4,2
"17",170,2,35,138,1.0625,5,3,2,1,1,2.82352941176471,4,2
"17",170,3,35,139,2,2,1,2,1,5,2,4,3
"17",170,4,35,140,2,2,3,3,1,5,2,4,3
"17",170,1,36,141,2,2,1,3,1,4,5,5,3
"17",170,2,36,142,1.0625,5,3,3,1,1,2.82352941176471,3,2
"17",170,3,36,143,2,3,2,2,1,4,2,3,2
"17",170,4,36,144,1,2,2,3,1,4,3,4,2
"17",170,1,37,145,1,2,3,4,1,5,2,3,1
"17",170,2,37,146,1,4,2,3,1,2,2,4,1
"17",170,3,37,147,1,2,3,4,1,5,5,3,1
"17",170,4,37,148,1,4,4,3,3,3,2,2,1
"17",170,1,38,149,2,3,1,4,1,4,3,5,1
"17",170,2,38,150,1,3,1,4,1,3,3,4,1
"17",170,3,38,151,2,3,3,4,1,4,3,4,1
"17",170,4,38,152,1.0625,5,5,5,1,1,2.82352941176471,1,1
"17",170,1,39,153,1.0625,5,4,5,1,1,2.82352941176471,4,3
"17",170,2,39,154,1,2,1,4,1,5,3,5,2
"17",170,3,39,155,1,5,1,1,2,1,1,4,2
"17",170,4,39,156,1,5,4,3,1,1,3,4,2
"17",170,1,40,157,1.0625,5,2,4,1,1,2.82352941176471,3,2
"17",170,2,40,158,1,5,2,3,2,2,1,4,3
"17",170,3,40,159,1,3,3,4,1,3,4,5,1
"17",170,1,41,161,1,2,2,3,1,4,4,4,2
"17",170,2,41,162,1,2,1,3,1,4,3,4,3
"17",170,3,41,163,2,1,4,4,1,5,4,3,1
"17",170,4,41,164,1.0625,5,5,5,1,2,2.82352941176471,2,1
"17",170,1,42,165,1.0625,5,1,4,1,1,2.82352941176471,5,2
"17",170,2,42,166,1,1,1,3,1,5,5,5,2
"17",170,4,42,168,2,3,3,3,1,3,4,3,2
"17",170,1,43,169,1.0625,5,1,2,1,1,2.82352941176471,5,3
"17",170,2,43,170,1,4,2,2,1,2,3,5,4
"17",170,3,43,171,1,2,3,5,1,5,5,5,1
"17",170,4,43,172,2,3,3,2,2,3,3,3,2
"17",170,1,44,173,1.0625,5,5,5,1,1,2.82352941176471,1,1
"17",170,2,44,174,1.0625,5,1,3,1,1,2.82352941176471,4,3
"17",170,3,44,175,2,2,4,4,2,4,3,5,2
"17",170,4,44,176,2,2,4,3,2,3,3,3,2
"17",170,1,45,177,1,4,3,4,1,2,4,5,1
"17",170,2,45,178,1,4,1,4,1,2,4,4,2
"17",170,3,45,179,1,4,1,3,1,2,3,5,2
"17",170,4,45,180,1,1,1,4,1,5,5,5,1
"17",170,1,46,181,1.0625,5,4,3,1,1,2.82352941176471,5,3
"17",170,3,46,183,2,1,5,4,1,5,3,4,2
"17",170,4,46,184,2,5,3,4,1,3,3,4,3
"17",170,2,47,186,1.0625,5,4,4,1,1,2.82352941176471,2,2
"17",170,3,47,187,1.0625,5,2,3,1,1,2.82352941176471,4,3
"17",170,4,47,188,2,1,4,3,1,4,3,4,3
"17",170,1,48,189,1,5,1,3,1,3,2,5,1
"17",170,2,48,190,1.0625,5,5,2,1,1,2.82352941176471,1,1
"17",170,3,48,191,1.0625,5,4,3,1,1,2.82352941176471,5,1
"17",170,1,49,193,1.0625,5,3,2,1,1,2.82352941176471,5,1
"17",170,2,49,194,1,4,3,3,1,2,3,5,2
"17",170,4,49,196,1,2,3,3,1,5,3,4,1
"19",27,1,1,0,1.0625,5,3,4,2,1,2.82352941176471,3,2
"19",27,2,1,2,2,2,2,4,2,4,4,4,2
"19",27,3,1,3,2,5,3,4,2,2,3,4,2
"19",27,1,2,5,1,5,2,3,2,1,3,4,3
"19",27,2,2,6,2,5,2,3,3,1,2,4,3
"19",27,4,2,8,1,3,2,4,2,4,4,4,2
"19",27,1,3,9,2,2,1,4,2,4,4,3,2
"19",27,2,3,10,2,5,2,4,2,1,3,3,2
"19",27,3,3,11,3,4,2,3,2,2,3,4,3
"19",27,4,3,12,2,4,4,4,2,2,4,4,2
"19",27,1,4,13,2,2,2,3,2,4,4,4,3
"19",27,3,4,15,1.0625,5,3,4,2,1,2.82352941176471,3,2
"19",27,1,5,17,1,3,2,4,2,3,4,4,3
"19",27,2,6,22,2,2,2,3,2,4,3,4,2
"19",27,4,6,24,2,2,2,4,2,4,3,3,2
"19",27,1,7,25,1.0625,5,4,3,3,1,2.82352941176471,3,2
"19",27,2,7,26,2,5,4,3,3,1,3,3,2
"19",27,3,7,27,2,4,2,4,2,2,3,3,2
"19",27,2,8,30,2,2,4,4,2,3,4,4,2
"19",27,3,8,31,3,3,2,4,2,4,4,4,2
"19",27,1,9,33,1.0625,5,4,4,3,1,2.82352941176471,3,2
"19",27,2,9,34,1.0625,5,3,3,2,1,2.82352941176471,3,2
"19",27,1,10,37,1.0625,4,3,3,2,3,2.82352941176471,4,1
"19",27,1,11,41,2,4,4,4,2,2,4,3,1
"19",27,1,12,45,1,5,3,3,2,1,3,3,2
"19",27,2,13,50,2,3,2,3,2,4,4,4,2
"19",27,4,13,52,2,4,2,4,2,2,4,4,2
"22",56,3,1,3,1,3,2,3,1,4,4,5,2
"22",56,4,1,4,1,1,2,5,1,5,1,5,1
"22",56,1,2,5,1,4,1,3,2,2,3,4,2
"22",56,2,2,6,1,4,1,3,1,3,4,5,2
"22",56,3,2,7,1,2,2,3,1,4,4,4,1
"22",56,4,2,8,1,2,2,3,2,4,4,4,2
"22",56,1,3,9,1,3,1,4,2,4,4,5,2
"22",56,3,3,11,1,2,1,3,1,3,3,4,2
"22",56,4,3,12,1,1,1,4,1,5,4,4,1
"22",56,1,4,13,1,5,1,3,2,2,4,4,3
"22",56,2,4,14,1,3,1,3,1,3,4,4,2
"22",56,3,4,15,1,2,2,4,1,4,4,4,2
"22",56,4,4,16,1,2,1,5,1,4,5,4,1
"22",56,1,5,17,1.0625,4,3,3,2,1,2.82352941176471,3,3
"22",56,2,5,18,1,5,3,3,2,1,3,5,3
"22",56,3,5,19,1,5,1,4,2,1,3,5,3
"22",56,4,5,20,1,3,2,4,1,4,4,4,1
"22",56,1,6,21,1,2,2,4,1,5,4,5,1
"22",56,2,6,22,1,3,1,4,1,3,4,5,1
"22",56,3,6,23,1,3,2,3,1,4,4,4,2
"22",56,4,6,24,1,5,3,3,1,2,3,3,3
"22",56,1,7,25,1,5,2,3,2,2,3,4,3
"22",56,2,7,26,1,4,2,3,2,3,3,4,3
"22",56,3,7,27,1,4,1,3,1,3,3,4,3
"22",56,4,7,28,1.0625,5,1,3,2,2,2.82352941176471,5,3
"22",56,1,8,29,1,4,1,3,2,4,3,3,3
"22",56,2,8,30,1,4,1,4,1,4,4,4,2
"22",56,3,8,31,1,3,2,4,1,4,3,4,2
"22",56,4,8,32,1,3,1,4,1,5,4,4,2
"22",56,1,9,33,1,3,2,3,3,2,2,4,2
"22",56,2,9,34,1,4,1,4,2,4,3,4,2
"22",56,3,9,35,1,2,1,4,2,4,4,4,2
"22",56,4,9,36,1,3,2,4,1,4,4,4,2
"22",56,1,10,37,1,2,1,4,2,4,4,4,2
"22",56,2,10,38,1,3,1,4,1,3,3,4,2
"22",56,3,10,39,1,3,2,3,2,3,3,4,2
"22",56,4,10,40,1,2,1,4,1,4,4,4,1
"22",56,1,11,41,1,4,1,4,1,4,3,4,2
"22",56,3,11,43,1,3,2,3,2,4,3,4,2
"22",56,4,11,44,1,3,2,4,1,4,4,4,2
"22",56,2,13,50,1,5,2,3,2,2,2,4,2
"22",56,3,13,51,1,4,2,3,2,3,2,4,2
"22",56,4,13,52,1,4,2,3,2,2,2,3,2
"22",56,1,14,53,1,5,2,3,1,1,2,4,3
"22",56,3,14,55,1,5,2,3,2,3,3,4,3
"22",56,4,14,56,1.0625,3,3,3,2,2,2.82352941176471,4,3
"22",56,1,15,57,1,4,2,2,2,3,3,4,4
"22",56,2,15,58,1,4,1,1,2,3,1,5,4
"22",56,3,15,59,1,4,1,5,1,3,3,4,1
"22",56,4,15,60,2,3,2,3,2,4,3,4,2
"22",56,1,17,65,1,3,1,5,1,5,4,4,1
"22",56,3,17,67,1,2,2,5,1,5,3,5,1
"22",56,4,17,68,1,4,1,3,1,2,3,4,2
"22",56,1,18,69,1,5,3,4,1,3,3,4,1
"22",56,2,19,74,1,3,2,3,1,3,3,4,3
"22",56,3,19,75,1,2,3,4,1,5,4,4,2
"27",32,2,1,2,1,3,NA,4,1,3,3,5,1
"27",32,3,7,27,1,4,2,5,1,1,3,5,1
"27",32,4,7,28,1,2,3,5,1,3,5,5,1
"27",32,1,8,29,1,4,3,5,1,2,2,3,1
"27",32,2,8,30,1,3,1,4,1,1,3,4,1
"27",32,3,8,31,1,3,2,5,1,1,3,3,1
"27",32,4,8,32,1,1,3,4,1,1,3,4,1
"27",32,1,9,33,1,2,2,5,1,5,3,3,1
"27",32,2,9,34,1,2,1,5,1,3,3,4,1
"27",32,3,9,35,1,4,1,5,1,2,4,2,1
"27",32,4,9,36,1,3,2,5,1,3,4,4,1
"27",32,1,10,37,1,5,4,5,1,3,4,2,1
"27",32,2,11,42,1,2,1,4,1,3,4,4,1
"27",32,3,11,43,1,1,1,5,1,4,5,5,1
"27",32,1,12,45,1,2,4,5,1,3,4,4,1
"27",32,3,12,47,1,2,5,5,1,3,3,3,1
"27",32,1,13,49,1,5,4,4,1,1,1,2,1
"27",32,2,13,50,1,2,2,5,1,3,2.82352941176471,4,1
"27",32,2,14,54,3,2,1,5,1,2,3,5,1
"27",32,3,14,55,1,4,3,4,1,1,3,4,1
"27",32,4,14,56,1,4,2,4,1,1,3,4,1
"27",32,2,15,58,1,3,1,5,1,2,3,4,1
"27",32,3,15,59,1,3,2,4,1,2,3,4,1
"27",32,4,15,60,1,2,3,4,1,3,4,4,1
"27",32,1,16,61,1,2,2,5,1,3,3,4,1
"27",32,2,16,62,1,2,2,5,1,3,3,4,1
"27",32,3,16,63,1,3,2,4,1,3,1,5,1
"27",32,2,18,70,1,1,1,5,1,5,4,5,1
"27",32,2,19,74,1,5,1,5,1,2,3,4,1
"27",32,2,20,78,1,2,2,5,1,4,4,5,1
"27",32,1,21,81,1,5,2,4,1,1,2,4,1
"27",32,1,22,85,1,3,1,5,1,2,3,4,1
"45",57,3,1,3,1,2,2,3,1,3,4,4,3
"45",57,1,2,5,1,4,2,3,2,3,3,4,3
"45",57,2,2,6,2,5,1,1,3,2,3,3,4
"45",57,3,2,7,1,5,2,2,1,2,4,4,2
"45",57,4,2,8,1,3,2,3,1,4,4,5,2
"45",57,2,3,10,3,2,2,4,2,4,3,3,3
"45",57,3,3,11,1,4,3,3,1,2,3,4,3
"45",57,4,3,12,2,4,3,2,2,2,4,3,3
"45",57,1,4,13,1,3,2,3,3,3,4,4,2
"45",57,2,4,14,2,1,3,4,1,4,4,4,1
"45",57,3,4,15,1,5,4,5,3,2,3,4,3
"45",57,1,5,17,2,2,3,4,1,5,3,4,1
"45",57,2,5,18,1,2,3,4,1,5,3,4,2
"45",57,3,5,19,1,4,3,2,2,3,3,3,4
"45",57,2,6,22,2,3,3,4,2,3,4,4,3
"45",57,3,6,23,1.0625,2,2,4,1,1,2.82352941176471,3,3
"45",57,4,6,24,2,3,1,3,2,3,3,3,3
"45",57,1,7,25,2,2,2,2,2,3,3,4,3
"45",57,3,7,27,1,5,2,2,2,2,4,4,4
"45",57,2,8,30,2,5,2,4,1,4,4,4,3
"45",57,3,8,31,1,5,1,2,1,2,4,5,3
"45",57,4,8,32,1,4,3,2,1,3,3,4,4
"45",57,1,9,33,2,5,1,1,1,3,3,3,5
"45",57,2,9,34,2,3,1,2,1,3,3,4,3
"45",57,3,9,35,1.0625,5,2,2,1,1,2.82352941176471,4,5
"45",57,4,9,36,2,3,1,2,1,3,4,5,5
"45",57,1,10,37,1,5,2,3,1,2,3,4,4
"45",57,3,10,39,1.0625,NA,NA,NA,NA,NA,2.82352941176471,NA,NA
"45",57,4,10,40,2,4,3,3,1,2,4,5,4
"45",57,1,11,41,2,4,2,3,1,3,4,3,4
"45",57,4,11,44,2,4,3,5,2,4,5,2,3
"45",57,2,12,46,2,2,5,4,1,4,3,2,3
"45",57,3,12,47,2,2,3,4,1,4,4,3,3
"45",57,4,12,48,2,2,3,5,1,5,4,3,2
"45",57,1,13,49,2,3,3,3,1,3,5,4,3
"45",57,3,13,51,2,1,1,2,1,4,5,5,4
"45",57,4,13,52,2,2,2,2,1,4,4,3,5
"45",57,2,14,54,4,5,4,5,2,3,2,2,2
"45",57,3,14,55,1,3,1,2,2,3,3,4,3
"45",57,1,15,57,2,4,2,3,1,3,4,4,3
"45",57,2,15,58,1,3,2,2,1,3,4,4,2
"45",57,4,15,60,2,4,3,3,1,3,4,4,2
"45",57,3,16,63,1,1,2,3,1,5,5,4,2
"45",57,4,16,64,1,3,3,5,1,5,4,4,2
"45",57,2,18,70,1,3,2,2,1,3,3,4,4
"45",57,4,18,72,2,2,2,4,1,5,3,4,3
"45",57,1,19,73,2,1,3,5,1,5,4,5,1
"45",57,2,19,74,2,2,3,3,1,5,3,4,3
"45",57,1,20,77,1,3,4,4,1,4,3,4,3
"45",57,3,21,83,2,2,1,1,2,3,5,4,4
"45",57,4,22,88,2,4,4,2,3,2,3,3,4
"45",57,3,23,91,2,2,4,3,1,4,4,3,4
"45",57,1,24,93,1,4,1,3,1,3,4,4,4
"45",57,2,24,94,2,3,4,5,2,4,4,2,1
"45",57,3,24,95,1.0625,1,2,5,1,3,2.82352941176471,4,1
"45",57,1,25,97,1,4,3,3,1,2,4,4,2
"45",57,1,27,105,1,3,3,4,1,3,5,4,3
"46",27,2,1,2,1,2,2,4,1,4,4,4,2
"46",27,3,1,3,1,4,3,5,1,3,4,5,2
"46",27,1,2,5,2,4,3,3,1,3,4,5,2
"46",27,4,2,8,1,2,2,3,1,4,5,5,2
"46",27,1,3,9,1,4,2,3,1,2,4,4,2
"46",27,2,3,10,2,5,2,2,2,2,4,4,2
"46",27,1,5,17,1.0625,5,2,2,3,1,2.82352941176471,4,4
"46",27,2,5,18,1,5,2,2,3,2,4,3,4
"46",27,4,5,20,1,1,2,4,1,4,5,4,2
"46",27,2,6,22,1.0625,3,1,4,2,2,2.82352941176471,5,3
"46",27,2,7,26,1,2,3,3,1,4,5,4,3
"46",27,1,8,29,1,5,3,4,2,2,5,5,3
"46",27,3,8,31,1.0625,5,3,3,1,1,2.82352941176471,4,3
"46",27,4,8,32,1,2,2,4,1,3,5,4,2
"46",27,1,9,33,1,3,2,3,1,4,5,3,2
"46",27,2,9,34,1,5,2,2,1,3,5,4,3
"46",27,3,9,35,1,3,2,3,1,4,5,5,2
"46",27,1,10,37,1,5,2,3,2,2,5,4,3
"46",27,2,10,38,1,5,2,2,3,2,4,4,4
"46",27,4,11,44,1.0625,5,2,3,1,1,2.82352941176471,4,3
"46",27,1,12,45,1,3,2,3,1,4,5,3,2
"46",27,2,12,46,1.0625,4,2,4,1,3,2.82352941176471,4,2
"46",27,3,13,51,1,2,3,4,1,3,5,4,2
"46",27,3,13,51,1,3,2,4,1,3,5,4,2
"46",27,3,14,55,1,5,1,1,2,3,4,4,4
"46",27,3,18,71,2,3,3,5,1,4,5,3,2
"46",27,1,312,1245,1.0625,NA,NA,NA,NA,NA,2.82352941176471,NA,NA
"51",55,2,1,2,2,2,1,5,1,4,5,5,2
"51",55,1,2,5,1,2,2,5,1,4,5,5,1
"51",55,2,2,6,1.0625,5,3,3,2,1,2.82352941176471,2,2
"51",55,3,2,7,1,2,1,5,1,4,5,5,2
"51",55,4,2,8,1,2,3,5,1,4,5,5,2
"51",55,1,3,9,1,5,1,5,1,2,5,5,2
"51",55,2,3,10,1,5,1,4,1,1,5,5,2
"51",55,3,3,11,1,5,1,5,1,3,5,5,1
"51",55,4,3,12,2,2,5,5,1,4,4,4,1
"51",55,1,4,13,1,5,1,4,1,1,5,5,2
"51",55,2,4,14,2,5,1,4,1,1,4,4,2
"51",55,3,4,15,1.0625,5,1,3,2,1,2.82352941176471,4,3
"51",55,4,4,16,2,3,2,4,1,3,4,4,3
"51",55,1,5,17,1.0625,5,1,3,1,1,2.82352941176471,5,3
"51",55,2,5,18,1,5,1,3,1,2,5,4,3
"51",55,3,5,19,2,4,2,3,1,2,4,4,2
"51",55,4,5,20,1,3,1,5,1,3,5,5,2
"51",55,1,6,21,1,5,2,4,1,2,5,4,2
"51",55,2,6,22,1.0625,4,2,3,1,2,2.82352941176471,4,2
"51",55,3,6,23,1.0625,5,3,3,1,1,2.82352941176471,3,2
"51",55,4,6,24,1,5,2,3,2,2,5,4,3
"51",55,1,7,25,1,3,1,4,1,4,5,4,1
"51",55,2,7,26,1,4,1,4,1,3,5,4,3
"51",55,3,7,27,1,5,1,5,1,1,4,5,2
"51",55,4,7,28,1,3,1,4,1,3,5,3,2
"51",55,1,8,29,1,4,1,2,1,2,3,3,4
"51",55,2,8,30,2,5,1,2,2,1,4,3,5
"51",55,3,8,31,2,3,1,3,3,3,4,3,5
"51",55,4,8,32,2,3,1,3,3,3,3,5,4
"51",55,1,9,33,2,4,4,3,1,2,4,3,1
"51",55,2,9,34,1,5,2,4,1,1,5,4,2
"51",55,3,9,35,1,5,1,5,1,1,5,5,1
"51",55,4,9,36,2,4,1,3,1,2,3,3,3
"51",55,1,10,37,1,5,1,5,1,2,5,5,1
"51",55,2,10,38,2,4,1,3,1,2,4,4,2
"51",55,3,10,39,2,5,2,4,1,1,4,4,2
"51",55,4,10,40,1,5,2,3,1,1,5,4,1
"51",55,1,11,41,2,3,1,2,3,2,4,3,3
"51",55,2,11,42,1,4,1,4,1,2,5,4,2
"51",55,3,11,43,1,4,2,5,1,2,5,5,2
"51",55,4,11,44,3,2,2,3,1,5,3,3,2
